"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Block","PB19011215-01","90.30"
"Block","PB19011216-01","72.20"
"Hourly","PH19011216","646.30"
"Block","PB19011217-01","71.70"
"Hourly","PH19011217","462.60"
"Block","PB19011218-01","60.40"
"Hourly","PH19011218","616.80"
"Hourly","PH19011219","446.70"
"Block","PB19011219-01","103.20"
"Block","PB19011220-01","94.10"
"Block","PB19011220-04","0.50"
"Hourly","PH19011220","622.40"
"Block","PB19011221-01","51.30"
"Hourly","PH19011221","413.80"
"Block","PB19011222-01","51.30"
"Hourly","PH19011222","816.30"
"Hourly","PH19011223","753.90"
"Block","PB19011223-01","80.00"
"Block","PB19011300-01","49.40"
"Hourly","PH19011300","97.10"
"Block","PB19011301-01","39.50"
"Hourly","PH19011301","251.80"
"Block","PB19011302-01","47.50"
"Hourly","PH19011302","268.80"
"Block","PB19011303-01","52.70"
"Hourly","PH19011303","324.80"
"Block","PB19011304-04","12.00"
"Block","PB19011304-03","0.50"
"Hourly","PH19011304","75.20"
"Block","PB19011304-01","62.40"
"Hourly","PH19011305","88.60"
"Block","PB19011305-01","44.80"
"Block","PB19011306-01","32.60"
"Hourly","PH19011306","76.60"
"Block","PB19011307-01","27.40"
"Hourly","PH19011307","159.90"
"Block","PB19011308-01","68.90"
"Hourly","PH19011308","160.90"
"Block","PB19011309-01","61.50"
"Hourly","PH19011309","177.60"
"Block","PB19011310-01","72.60"
"Hourly","PH19011310","237.20"
"Block","PB19011311-01","84.90"
"Hourly","PH19011311","220.00"
"Block","PB19011312-01","58.30"
"Hourly","PH19011312","281.50"
"Block","PB19011313-01","43.20"
"Hourly","PH19011313","275.60"
"Block","PB19011314-01","30.20"
"Hourly","PH19011314","276.00"
"Block","PB19011315-01","34.30"
"Block","PB19011315-09","3.00"
"Hourly","PH19011315","336.60"
"Hourly","PH19011316","132.50"
"Block","PB19011316-01","28.80"
"Block","PB19011317-01","23.50"
"Hourly","PH19011317","218.00"
"Block","PB19011318-01","40.90"
"Hourly","PH19011318","228.70"
"Block","PB19011319-01","83.10"
"Hourly","PH19011319","198.70"
"Block","PB19011320-02","18.20"
"Hourly","PH19011320","178.30"
"Block","PB19011320-01","26.10"
"Block","PB19011321-01","22.60"
"Hourly","PH19011321","208.60"
"Hourly","PH19011322","316.70"
"Block","PB19011322-01","44.70"
"Block","PB19011323-01","52.20"
"Hourly","PH19011323","806.50"
"Block","PB19011400-01","15.60"
"Hourly","PH19011400","202.00"
"Block","PB19011401-01","18.50"
"Hourly","PH19011401","327.00"
"Block","PB19011402-01","13.80"
"Hourly","PH19011402","393.50"
"Block","PB19011403-01","12.60"
"Hourly","PH19011403","242.80"
"Hourly","PH19011404","128.20"
"Block","PB19011404-01","27.50"
"Hourly","PH19011405","243.60"
"Block","PB19011405-01","23.60"
"Block","PB19011406-01","19.90"
"Hourly","PH19011406","391.00"
"Block","PB19011407-01","44.60"
"Hourly","PH19011407","222.90"
"Hourly","PH19011408","275.80"
"Block","PB19011408-01","58.30"
