"Contract Type","Contract Name","Trade Value (TL)"
"Block","PB19011012-01","11,527.06"
"Hourly","PH19011012","127,581.48"
"Block","PB19011013-01","21,837.14"
"Hourly","PH19011013","129,142.29"
"Block","PB19011014-01","28,282.80"
"Hourly","PH19011014","136,399.71"
"Block","PB19011014-03","2,448.00"
"Block","PB19011015-02","10,403.72"
"Block","PB19011015-01","29,903.35"
"Hourly","PH19011015","97,780.11"
"Hourly","PH19011016","148,817.73"
"Block","PB19011016-01","30,616.66"
"Hourly","PH19011017","165,282.52"
"Block","PB19011017-02","11,041.33"
"Block","PB19011017-01","23,937.36"
"Block","PB19011018-01","20,184.50"
"Block","PB19011018-03","1,368.00"
"Hourly","PH19011018","127,361.21"
"Hourly","PH19011019","184,445.72"
"Block","PB19011019-01","14,807.60"
"Block","PB19011019-05","48,879.00"
"Block","PB19011020-01","12,645.48"
"Hourly","PH19011020","146,818.81"
"Hourly","PH19011021","109,416.76"
"Block","PB19011021-01","30,396.23"
"Hourly","PH19011022","31,999.72"
"Block","PB19011022-01","21,685.28"
"Hourly","PH19011023","91,837.96"
"Block","PB19011023-01","13,890.52"
"Hourly","PH19011100","1,156.08"
"Block","PB19011100-01","219.18"
"Block","PB19011100-24","272,477.52"
"Hourly","PH19011101","1,059.42"
"Block","PB19011101-01","204.62"
"Block","PB19011102-01","64.45"
"Hourly","PH19011102","715.27"
"Block","PB19011103-01","48.95"
"Hourly","PH19011103","682.60"
"Hourly","PH19011104","712.99"
"Block","PB19011104-01","52.95"
"Block","PB19011105-01","48.20"
"Hourly","PH19011105","694.03"
"Block","PB19011106-01","463.66"
"Hourly","PH19011106","1,879.45"
"Hourly","PH19011107","81,315.29"
"Block","PB19011107-01","12,407.60"
"Hourly","PH19011108","75,472.97"
"Block","PB19011108-01","21,066.00"
"Block","PB19011109-01","28,440.83"
"Hourly","PH19011109","51,494.22"
"Block","PB19011110-01","30,536.98"
"Hourly","PH19011110","57,798.72"
"Block","PB19011111-01","24,496.41"
"Hourly","PH19011111","141,790.88"
"Block","PB19011112-01","21,775.42"
"Hourly","PH19011112","133,263.70"
"Block","PB19011113-01","4,980.66"
"Hourly","PH19011113","21,420.32"
"Block","PB19011114-01","17,003.60"
"Hourly","PH19011114","145,673.52"
"Block","PB19011115-01","21,801.69"
"Hourly","PH19011115","162,180.42"
"Block","PB19011116-01","17,667.53"
"Hourly","PH19011116","156,848.09"
"Block","PB19011117-01","33,957.25"
"Hourly","PH19011117","226,036.31"
"Block","PB19011118-06","45,800.16"
"Hourly","PH19011118","248,987.16"
"Block","PB19011118-01","35,910.18"
"Block","PB19011119-01","18,881.18"
"Hourly","PH19011119","161,251.37"
"Block","PB19011120-01","23,503.04"
"Hourly","PH19011120","115,246.26"
"Block","PB19011121-01","21,080.38"
"Hourly","PH19011121","134,217.37"
"Block","PB19011122-01","24,969.67"
"Hourly","PH19011122","162,270.19"
"Block","PB19011123-01","21,369.55"
"Hourly","PH19011123","181,893.29"
"Block","PB19011200-01","25,395.64"
"Hourly","PH19011200","54,400.90"
"Block","PB19011201-01","12,592.80"
"Hourly","PH19011201","42,227.77"
"Block","PB19011202-01","8,381.85"
"Hourly","PH19011202","35,157.11"
"Block","PB19011203-01","12,235.81"
"Hourly","PH19011203","57,439.59"
"Hourly","PH19011204","28,600.51"
"Block","PB19011204-01","7,495.44"
"Hourly","PH19011205","26,874.16"
"Block","PB19011205-01","11,495.69"
"Block","PB19011206-01","11,428.12"
"Hourly","PH19011206","40,051.49"
"Block","PB19011207-01","12,425.92"
"Hourly","PH19011207","18,884.46"
"Hourly","PH19011208","79,334.04"
"Block","PB19011208-01","12,434.54"
"Block","PB19011209-01","20,181.14"
"Hourly","PH19011209","22,048.36"
"Block","PB19011210-01","22,058.72"
"Hourly","PH19011210","40,599.27"
"Block","PB19011211-01","19,872.48"
"Block","PB19011211-02","2,256.00"
"Hourly","PH19011211","101,281.23"
"Hourly","PH19011212","108,475.97"
"Block","PB19011212-01","26,530.92"
"Hourly","PH19011213","139,361.56"
"Block","PB19011213-01","20,420.07"
"Block","PB19011214-01","20,903.95"
"Hourly","PH19011214","159,583.32"
"Hourly","PH19011215","205,933.80"
"Block","PB19011215-01","21,220.50"
"Block","PB19011216-01","17,985.67"
"Hourly","PH19011216","163,627.51"
"Block","PB19011217-01","21,715.46"
"Hourly","PH19011217","140,326.12"
"Block","PB19011218-01","18,420.67"
"Hourly","PH19011218","187,997.10"
"Hourly","PH19011219","134,950.84"
"Block","PB19011219-01","31,068.18"
"Block","PB19011220-01","28,139.47"
"Block","PB19011220-04","514.00"
"Hourly","PH19011220","185,022.94"
"Block","PB19011221-01","13,749.82"
"Hourly","PH19011221","110,189.20"
"Block","PB19011222-01","12,364.62"
"Hourly","PH19011222","195,821.68"
"Hourly","PH19011223","163,109.72"
"Block","PB19011223-01","17,362.22"
"Block","PB19011300-01","8,272.81"
"Hourly","PH19011300","16,548.68"
"Block","PB19011301-01","8,435.39"
"Hourly","PH19011301","46,066.63"
"Block","PB19011302-01","7,836.18"
"Hourly","PH19011302","43,582.01"
"Block","PB19011303-01","9,683.06"
"Hourly","PH19011303","59,211.29"
"Block","PB19011304-04","6,454.56"
"Block","PB19011304-03","189.50"
"Hourly","PH19011304","9,571.26"
"Block","PB19011304-01","8,020.26"
"Hourly","PH19011305","13,467.08"
"Block","PB19011305-01","5,748.41"
"Block","PB19011306-01","4,180.33"
"Hourly","PH19011306","9,784.79"
"Block","PB19011307-01","4,354.09"
"Hourly","PH19011307","24,310.08"
"Block","PB19011308-01","691.96"
"Hourly","PH19011308","1,578.59"
"Block","PB19011309-01","643.13"
"Hourly","PH19011309","1,776.93"
"Block","PB19011310-01","812.42"
"Hourly","PH19011310","2,700.45"
"Block","PB19011311-01","6,210.61"
"Hourly","PH19011311","14,103.34"
"Block","PB19011312-01","11,794.92"
"Hourly","PH19011312","56,347.64"
"Block","PB19011313-01","9,254.52"
"Hourly","PH19011313","59,857.59"
"Block","PB19011314-01","3,871.82"
"Hourly","PH19011314","36,772.42"
"Block","PB19011315-01","7,318.69"
"Block","PB19011315-09","6,990.30"
"Hourly","PH19011315","74,086.96"
"Hourly","PH19011316","12,336.53"
"Block","PB19011316-01","2,248.83"
"Block","PB19011317-01","7,404.09"
"Hourly","PH19011317","70,083.82"
"Block","PB19011318-01","12,933.63"
"Hourly","PH19011318","72,877.52"
"Block","PB19011319-01","26,569.04"
"Hourly","PH19011319","63,329.06"
"Block","PB19011320-02","11,347.70"
"Hourly","PH19011320","56,807.24"
"Block","PB19011320-01","8,222.87"
"Block","PB19011321-01","7,045.62"
"Hourly","PH19011321","65,484.58"
"Hourly","PH19011322","91,352.48"
"Block","PB19011322-01","12,753.19"
"Block","PB19011323-01","10,434.04"
"Hourly","PH19011323","163,189.70"
"Block","PB19011400-01","3,099.67"
"Hourly","PH19011400","40,311.61"
"Block","PB19011401-01","3,894.17"
"Hourly","PH19011401","69,046.88"
"Block","PB19011402-01","3,091.09"
"Hourly","PH19011402","89,798.90"
"Block","PB19011403-01","2,410.16"
"Hourly","PH19011403","46,050.77"
"Hourly","PH19011404","3,135.53"
"Block","PB19011404-01","578.17"
"Hourly","PH19011405","17,233.67"
"Block","PB19011405-01","1,884.30"
"Block","PB19011406-01","4,229.26"
"Hourly","PH19011406","78,533.83"
"Block","PB19011407-01","12,596.63"
"Hourly","PH19011407","63,013.54"
"Hourly","PH19011408","84,796.59"
"Block","PB19011408-01","18,133.29"
"Block","PB19011409-01","21,867.47"
"Hourly","PH19011409","53,032.16"
"Block","PB19011409-03","3,307.50"
"Block","PB19011410-01","18,538.55"
"Hourly","PH19011410","63,326.57"
"Hourly","PH19011411","122,345.03"
"Block","PB19011411-01","22,557.18"
